Graph Name, Max Ref Count, Compression Window, Avg Ref Chain, Bits/Node, Bits/Link
cnr-2000, -1, 1, 0, 27.677902794287945, 2.8017130409259265
cnr-2000, 1, 1, 0, 35.97234892814469, 3.6413235444095924
cnr-2000, 3, 1, 0, 31.596067662498427, 3.1983317330772922
cnr-2000, -1, 3, 0, 25.4768658023019, 2.5789116932284295
cnr-2000, 1, 3, 0, 32.097620385984634, 3.249101721560424
cnr-2000, 3, 3, 0, 29.117358864960668, 2.947422882998067
cnr-2000, -1, 7, 0, 24.682384344369805, 2.498489810183101
cnr-2000, 1, 7, 0, 31.283535602060468, 3.166695479566886
cnr-2000, 3, 7, 0, 28.637209459480214, 2.898819458781799
