Graph Name, Max Ref Count, Compression Window, Avg Ref Chain, Bits/Node, Bits/Link
uk-2002, -1, 1, 0, 35.380616199812465, 2.1980407835046543
uk-2002, 1, 1, 0, 49.69976856978807, 3.087626219684551
uk-2002, 3, 1, 0, 42.07258729603532, 2.6137832710990376
uk-2002, -1, 3, 0, 31.334627557829744, 1.9466814517606872
uk-2002, 1, 3, 0, 42.887020297415525, 2.664380381741652
uk-2002, 3, 3, 0, 37.54538255637568, 2.332528117235997
uk-2002, -1, 7, 0, 29.833344924101883, 1.8534134194046366
uk-2002, 1, 7, 0, 41.11790122570218, 2.554472859256997
uk-2002, 3, 7, 0, 36.55469257124246, 2.2709809418325344
