Graph Name, Max Ref Count, Compression Window, Avg Ref Chain, Bits/Node, Bits/Link
uk-2002, -1, 1, 0, 35.44361670638665, 2.201954725592306
uk-2002, 1, 1, 0, 49.8299779498227, 3.095715551031824
uk-2002, 3, 1, 0, 42.163874479319816, 2.619454538968919
uk-2002, -1, 3, 0, 31.37610249536648, 1.9492581057026144
uk-2002, 1, 3, 0, 42.968013096416584, 2.6694121051680937
uk-2002, 3, 3, 0, 37.601702784689344, 2.3360270432600827
uk-2002, -1, 7, 0, 29.865968474045445, 1.8554401758882906
uk-2002, 1, 7, 0, 41.168768465363165, 2.5576330152782414
uk-2002, 3, 7, 0, 36.589201222905274, 2.273124811326221
