Graph Name, Max Ref Count, Compression Window, Avg Ref Chain, Bits/Node, Bits/Link
cnr-2000transpose, -1, 1, 0, 23.127400117337363, 2.3410855581452616
cnr-2000transpose, 1, 1, 0, 26.434062237949114, 2.675804501777279
cnr-2000transpose, 3, 1, 0, 24.4626747389858, 2.4762495678064966
cnr-2000transpose, -1, 3, 0, 21.962427470458323, 2.2231604725149805
cnr-2000transpose, 1, 3, 0, 24.65334795442887, 2.4955505834301364
cnr-2000transpose, 3, 3, 0, 23.244461031401567, 2.352935122469336
cnr-2000transpose, -1, 7, 0, 21.518517494632277, 2.1782254072568707
cnr-2000transpose, 1, 7, 0, 24.413110453776145, 2.4712323920013732
cnr-2000transpose, 3, 7, 0, 23.135595302819475, 2.3419151209271205
