Graph Name, Max Ref Count, Compression Window, Graph Size, Offset Size
uk-2002, -1, 1, 78.25MB, 18.81MB
uk-2002, 1, 1, 110.02MB, 20.81MB
uk-2002, 3, 1, 93.09MB, 19.74MB
uk-2002, -1, 3, 69.27MB, 18.20MB
uk-2002, 1, 3, 94.87MB, 20.04MB
uk-2002, 3, 3, 83.02MB, 19.21MB
uk-2002, -1, 7, 65.94MB, 18.01MB
uk-2002, 1, 7, 90.89MB, 20.01MB
uk-2002, 3, 7, 80.78MB, 19.27MB
