Graph Name, Max Ref Count, Compression Window, Graph Size, Offset Size
cnr-2000, -1, 1, 1.07MB, 0.30MB
cnr-2000, 1, 1, 1.40MB, 0.33MB
cnr-2000, 3, 1, 1.23MB, 0.31MB
cnr-2000, -1, 3, 0.99MB, 0.30MB
cnr-2000, 1, 3, 1.25MB, 0.32MB
cnr-2000, 3, 3, 1.13MB, 0.31MB
cnr-2000, -1, 7, 0.96MB, 0.29MB
cnr-2000, 1, 7, 1.21MB, 0.32MB
cnr-2000, 3, 7, 1.11MB, 0.31MB
