Graph Name, Max Ref Count, Compression Window, Avg Ref Chain, Bits/Node, Bits/Link
uk-2002transpose, -1, 1, 0, 27.992390210494477, 1.7390430670557235
uk-2002transpose, 1, 1, 0, 34.29784790744692, 2.1307731912087977
uk-2002transpose, 3, 1, 0, 30.614390950647838, 1.9019363453606681
uk-2002transpose, -1, 3, 0, 26.10959723195169, 1.622073488844839
uk-2002transpose, 1, 3, 0, 30.719335226948147, 1.9084560678550626
uk-2002transpose, 3, 3, 0, 28.2669805749158, 1.7561021486824215
uk-2002transpose, -1, 7, 0, 25.35071201695247, 1.5749273158345505
uk-2002transpose, 1, 7, 0, 29.595977880926018, 1.8386668576541596
uk-2002transpose, 3, 7, 0, 27.41470904165258, 1.7031542978549243
